Label,Accuracy,Precision,Recall,F1-Score
Constant LR,96.49,96.73,95.81,96.23
"Step Decay (γ=0.5, s=30)",97.37,97.97,96.51,97.16
Cosine Annealing,96.49,96.73,95.81,96.23
