Label,Accuracy,Precision,Recall,F1-Score
He/Kaiming  (ReLU-correct),96.49,96.73,95.81,96.23
Xavier/Glorot (tanh-correct),96.49,96.73,95.81,96.23
Small Random  (σ=0.01),62.28,31.14,50.0,38.38
Large Random  (σ=1.0),95.61,95.54,95.1,95.31
