Model,Split,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro)
Logistic Regression (Baseline),Validation,0.9649122807017544,0.9672569328433008,0.9580740255486406,0.9623015873015872
Plain MLP (Baseline NN),Validation,0.9736842105263158,0.9701298701298702,0.9742875859810024,0.9721203228173148
MLP + L2 Regularization,Validation,0.9649122807017544,0.9672569328433009,0.9580740255486406,0.9623015873015872
MLP + Early Stopping,Validation,0.9824561403508771,0.981329839502129,0.981329839502129,0.981329839502129
